555.788,995.023,893.938,804.724,623.418,682.595,833.862,499.85,632.232,676.659,782.061,1044.666,791.054,773.607,717.129,795.91,1515.018,767.851,877.57,554.709,864.799,697.703,847.352,920.378,938.545,926.494,889.441,874.692,965.884,853.827,845.913
22.663,28.599,35.434,23.203,20.145,27.16,23.023,27.52,43.168,16.907,27.52,22.663,14.569,16.008,16.728,17.447,23.383,13.85,25.901,35.614,41.369,39.571,51.262,26.081,24.642,24.282,20.685,21.764,32.196,25.901,23.383
529.168,559.386,1036.572,519.815,558.846,745.009,528.988,466.754,724.143,451.106,582.948,721.445,543.917,543.557,633.671,503.447,693.206,435.098,526.83,655.794,766.412,696.624,762.275,644.103,799.508,623.778,522.513,682.055,634.93,608.129,604.172
83.818,89.754,106.661,102.704,80.221,122.849,108.46,78.782,113.676,68.709,98.567,131.842,112.417,109.539,81.3,109.899,120.87,107.201,105.582,105.942,134.54,136.339,137.058,121.05,107.92,85.617,122.13,79.861,120.331,134.9,103.064
304.335,319.803,452.185,223.394,179.147,395.347,235.086,190.119,491.396,323.76,349.121,439.235,309.731,322.321,356.676,276.815,350.021,194.436,306.313,463.696,376.281,233.467,191.198,362.971,340.488,421.787,290.125,246.777,292.823,285.628,253.792
649.319,920.558,1021.643,883.326,935.307,751.844,680.436,775.046,783.679,775.585,822.351,873.433,689.789,689.609,943.042,787.816,904.37,927.033,774.146,899.873,913.183,966.064,808.141,961.747,924.155,839.618,784.219,813.897,771.448,895.736,786.377
532.406,448.228,799.148,655.434,593.38,469.273,524.312,550.212,587.625,602.374,593.74,696.084,709.035,694.645,618.023,586.366,579.171,624.317,664.428,518.016,625.037,537.981,752.562,650.218,770.009,632.951,568.379,578.451,549.313,743.569,514.059
553.81,588.344,859.943,684.933,633.311,556.148,514.239,506.505,654.715,610.468,612.626,700.761,658.492,639.606,626.836,704.898,727.381,607.05,723.604,590.862,649.499,653.276,889.801,629.713,820.012,588.884,645.722,715.33,801.846,700.221,615.684
1160.86,1464.475,2000.118,2295.639,1748.125,1332.454,1833.202,1472.569,1493.434,2037.171,1522.392,2370.823,1714.849,1702.619,1530.487,2049.222,1970.26,1948.676,2211.641,1506.744,1623.117,1571.855,2003.715,2106.239,1851.368,1948.856,1828.345,2244.917,1842.735,1939.863,1979.613
889.081,1084.237,1396.845,1068.408,855.986,989.268,828.826,898.254,707.955,949.876,746.447,1148.989,1010.851,1014.448,1176.689,1226.871,1439.653,912.824,1511.06,1091.791,1198.092,1134.24,1640.564,1259.607,968.582,1113.375,1066.969,1032.795,1555.488,1036.032,940.883
546.255,947.538,978.835,741.411,779.902,808.322,672.881,600.935,689.609,571.796,770.369,962.827,766.772,750.584,657.773,661.19,1368.966,739.072,794.112,575.214,912.824,802.565,893.578,809.22,968.043,984.591,904.91,742.13,846.273,802.206,856.525
28.779,15.109,34.534,37.053,24.282,38.671,23.383,26.62,53.241,12.411,32.556,42.269,24.282,22.843,19.426,27.52,19.785,21.944,35.074,31.477,33.455,51.262,47.125,21.764,44.787,7.375,16.008,27.699,39.211,42.988,38.851
550.572,803.824,1058.875,788.176,514.059,762.995,731.338,515.678,763.354,621.799,630.793,873.793,702.2,701.48,830.625,619.281,989.627,525.75,707.416,617.662,758.318,737.454,748.965,851.489,779.363,856.885,748.605,916.241,689.609,787.996,762.815
81.48,58.637,106.481,89.034,104.682,114.215,80.4,79.501,124.108,55.039,108.28,87.055,89.754,90.293,47.305,69.249,48.204,89.574,75.904,97.128,123.928,149.829,136.159,79.501,128.785,49.643,81.12,49.643,89.214,72.306,98.207
363.511,209.725,303.615,258.648,213.322,348.042,199.472,328.796,338.869,237.964,251.094,352.899,246.777,242.64,320.163,279.513,359.194,243.18,301.637,396.246,540.32,270.879,242.101,334.372,375.382,325.019,225.013,216.2,279.333,309.191,264.224
654.175,868.217,1013.009,794.831,756.16,669.285,818.214,745.907,745.907,873.613,783.32,967.143,777.744,781.161,1033.875,934.048,986.569,860.482,801.306,920.018,936.566,844.654,796.27,1052.94,824.689,932.069,873.253,837.819,799.508,927.213,839.618
430.961,402.362,693.386,563.163,494.094,448.228,543.198,529.348,611.907,620.181,647.161,753.821,605.791,612.086,695.545,640.326,505.246,600.755,633.85,506.685,713.711,541.938,591.042,636.548,633.311,557.227,604.712,684.393,528.988,585.286,622.879
410.816,382.756,669.464,531.686,611.367,564.242,473.769,612.986,532.945,460.639,671.802,843.035,556.148,585.826,615.864,528.988,618.022,480.964,633.131,532.765,879.548,628.275,731.518,728.82,683.134,553.45,643.024,621.979,700.941,684.753,685.652
1356.375,1250.793,1790.214,1687.869,1693.625,1370.406,1568.618,1533.724,1404.22,1865.038,1781.76,2024.22,1908.926,1924.214,1341.627,1474.727,1431.379,1764.493,1824.568,1356.375,2203.008,1398.644,1862.16,1418.789,1763.953,1670.422,1491.995,1655.493,1512.32,1727.08,1969.9
1061.573,627.195,1480.303,875.951,1007.254,1118.592,750.584,846.093,670.183,886.203,828.106,974.158,1103.123,1120.57,1003.297,1318.603,1010.132,1055.638,1173.99,958.15,1004.196,1346.842,1842.015,1020.924,772.887,990.706,863.18,786.197,1718.627,945.38,1284.248